GeneID,GSM3024820,GSM3024822,GSM3024824,GSM3024826,GSM3024828,GSM3024830,GSM3024832,GSM3024834,GSM3024836,GSM3024838,GSM3024840,GSM3024842,GSM3024844,GSM3024846,GSM3024848,GSM3024850,GSM3024852,GSM3024854,GSM3024856,GSM3024858,GSM3024860,GSM3024863
105376365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101927904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04127,0,0.02162,0,0,0,0,0
105376367,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0,0,0,0,0,0,0,0,0
102464829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107984195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101927964,0,0,0,0.4992,0,0,0,0,0,0,0,0,0,0,0,0.08193,0,0,0,0,0,0
107984196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376368,0,0.1921,0,0,0,0,0.9381,0,0,0,0,0,0,0,0.206,0,1.618,0,0,0,0,0
100652988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6626,0,0,0
105376370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100507059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100216001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107984197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2212,0,0,0,0,0,0,0
83592,0.1605,12.51,3.131,0,3.787,2.251,0.1114,2.854,1.388,0.5953,0.5081,1.939,1.679,1.973,12.6,5.098,0.6847,0,13.63,0.3398,0.9336,0.6185
389932,0,0,0,0,0.05986,0,0.1623,0,0,0,0,0,0.01515,0,0,0.2683,0.196,0,0,0,0,0
1645,4.78,5.095,2.886,2.538,6.429,1.548,5.967,1.506,1.874,1.961,2.371,4.218,1.792,2.571,2.165,2.978,14.47,0.004583,2.683,2.231,2.034,0.03419
1646,3.318,9.869,1.752,2.694,4.588,1.451,1.331,2.32,0.249,1.809,2.17,0,1.309,1.434,4.697,2.367,22.35,0,3.866,4.029,2.642,0.5383
